,station1,station2,station3,station4,station5,station6,station7,station8,station9,station10,station11,station12,station13,station14
2019/5/1 16:25,3,2,1,0,2,0,2,1,1,1,0,0,2,11
2019/5/1 16:30,2,5,2,0,1,1,0,2,0,1,1,1,1,6
2019/5/1 16:35,5,6,1,0,0,2,0,0,2,1,3,1,0,11
2019/5/1 16:40,0,3,3,0,0,1,0,1,1,1,1,1,0,8
2019/5/1 16:45,1,2,1,0,1,2,1,0,3,1,0,1,0,10
2019/5/1 16:50,2,6,3,0,0,1,0,2,1,0,0,1,1,6
2019/5/1 16:55,2,6,1,0,0,0,2,0,2,0,0,1,1,8
2019/5/1 17:00,1,1,4,0,1,0,0,0,1,0,2,3,0,8
2019/5/1 17:05,3,1,4,1,0,1,1,0,0,1,5,5,0,7
2019/5/1 17:10,1,4,2,0,0,2,0,0,0,0,0,1,0,4
2019/5/1 17:15,0,5,1,0,0,0,1,0,2,0,4,1,0,7
2019/5/1 17:20,0,5,0,0,0,2,0,2,1,0,1,2,0,13
2019/5/1 17:25,2,2,1,0,0,0,3,0,1,1,1,0,0,12
2019/5/1 17:30,2,4,1,0,1,1,1,2,1,0,4,1,1,12
2019/5/1 17:35,4,4,2,0,0,1,3,0,0,0,3,0,0,9
2019/5/1 17:40,2,6,1,0,1,1,5,0,3,1,1,2,2,18
2019/5/1 17:45,6,6,1,0,0,0,3,1,3,1,0,1,2,4
2019/5/1 17:50,4,4,3,0,0,0,4,0,2,2,1,1,3,10
2019/5/1 17:55,1,3,2,0,0,0,2,0,1,0,3,2,0,11
2019/5/1 18:00,1,3,2,0,0,0,0,0,0,0,5,0,0,3
2019/5/1 18:05,5,2,4,0,2,3,1,0,0,1,1,2,0,6
2019/5/1 18:10,0,5,5,0,1,0,2,1,1,0,1,1,0,9
2019/5/1 18:15,0,3,2,0,0,1,0,0,4,0,0,2,0,6
2019/5/1 18:20,2,3,0,0,1,0,0,0,2,1,0,2,0,12
2019/5/1 18:25,0,2,4,0,3,0,1,0,1,0,2,2,0,10
2019/5/1 18:30,1,7,2,0,1,1,1,1,0,0,0,3,0,8
2019/5/1 18:35,3,6,2,0,1,0,0,0,0,0,1,0,2,10
2019/5/1 18:40,1,6,0,0,2,2,1,1,0,0,0,2,0,7
2019/5/1 18:45,1,2,2,0,2,3,0,0,0,1,0,3,2,11
2019/5/1 18:50,1,1,3,0,0,1,1,2,2,0,1,0,1,10
2019/5/1 18:55,1,2,2,0,0,3,0,0,1,1,2,0,1,10
2019/5/1 19:00,3,5,6,1,1,1,2,0,0,0,2,0,1,5
2019/5/1 19:05,1,4,3,1,1,1,2,1,1,0,1,0,0,7
2019/5/1 19:10,0,4,1,1,2,3,1,0,1,0,0,1,0,7
2019/5/1 19:15,2,9,1,0,1,0,0,0,1,0,2,2,0,6
2019/5/1 19:20,0,4,1,0,3,2,2,0,2,0,1,2,0,7
2019/5/1 19:25,1,1,3,1,0,0,1,0,1,0,1,1,1,8
2019/5/1 19:30,0,6,6,1,0,0,0,0,2,0,1,0,1,5
2019/5/1 19:35,0,3,4,0,0,0,0,2,3,0,3,1,0,9
2019/5/1 19:40,1,2,4,1,0,3,1,0,0,0,2,2,0,6
2019/5/1 19:45,0,3,2,0,1,0,0,0,2,0,2,1,1,10
2019/5/1 19:50,1,1,4,0,1,1,0,0,1,0,4,1,0,7
2019/5/1 19:55,0,2,4,0,1,1,0,0,2,0,3,0,0,4
2019/5/1 20:00,1,0,2,0,0,0,1,0,1,1,3,1,1,5
2019/5/1 20:05,3,2,3,0,0,2,1,0,2,0,3,1,0,9
2019/5/1 20:10,0,3,1,0,1,1,0,0,1,0,0,1,3,2
2019/5/1 20:15,3,6,4,1,0,2,2,0,1,1,3,1,0,14
2019/5/1 20:20,1,4,2,0,1,0,2,2,4,0,2,0,0,7
2019/5/1 20:25,1,2,3,0,2,0,1,1,1,0,0,0,1,6
2019/5/1 20:30,1,3,2,0,1,1,0,0,3,0,0,1,0,7
2019/5/1 20:35,2,3,2,0,0,0,0,0,1,1,3,0,0,7
2019/5/1 20:40,7,5,2,0,0,0,1,0,1,0,1,0,1,7
2019/5/1 20:45,3,2,0,0,0,0,2,1,4,0,1,1,2,3
2019/5/1 20:50,2,0,3,0,1,1,1,0,2,1,0,1,1,6
2019/5/1 20:55,2,4,6,1,0,0,1,0,2,0,3,1,0,9
2019/5/1 21:00,2,2,2,0,0,1,2,0,2,0,1,0,0,6
2019/5/1 21:05,1,2,1,0,0,0,3,0,1,0,1,0,1,3
2019/5/1 21:10,2,7,2,0,0,1,2,0,1,0,2,4,0,6
2019/5/1 21:15,4,1,1,0,1,0,2,0,1,0,1,4,0,3
2019/5/1 21:20,5,6,4,0,1,4,0,0,0,0,1,1,0,5
2019/5/1 21:25,1,6,3,0,0,2,1,0,3,0,0,1,0,8
2019/5/1 21:30,3,5,4,0,0,2,2,1,2,0,0,0,1,9
2019/5/1 21:35,0,3,2,0,0,1,0,0,3,0,0,0,0,8
2019/5/1 21:40,2,5,1,0,0,0,0,0,5,0,2,1,0,4
2019/5/1 21:45,0,3,4,0,0,3,1,1,2,0,2,3,0,5
2019/5/1 21:50,1,3,3,1,0,4,2,0,2,0,0,1,0,6
2019/5/1 21:55,5,5,1,0,0,2,1,0,0,0,1,1,0,4
2019/5/1 22:00,2,5,4,1,1,2,1,0,5,0,4,5,0,8
2019/5/1 22:05,2,0,2,0,0,1,1,0,0,1,5,0,1,8
2019/5/1 22:10,7,1,6,0,0,3,1,0,4,0,3,2,1,5
2019/5/1 22:15,4,1,10,0,0,1,2,0,2,1,3,1,1,3
2019/5/1 22:20,2,3,3,2,0,3,0,0,3,0,2,0,0,6
2019/5/1 22:25,0,1,4,0,2,1,2,0,5,0,1,2,1,5
2019/5/1 22:30,1,0,1,0,1,4,3,0,6,0,1,0,1,6
2019/5/1 22:35,0,1,2,0,1,1,2,0,1,0,0,0,1,6
2019/5/1 22:40,1,7,1,0,0,2,0,1,3,1,2,3,0,11
2019/5/1 22:45,4,3,4,1,0,1,2,0,1,0,1,1,0,6
2019/5/1 22:50,3,2,3,0,0,1,4,0,5,0,3,1,1,7
2019/5/1 22:55,2,6,3,0,0,2,2,0,7,0,2,1,0,10
2019/5/1 23:00,2,3,7,0,1,1,0,0,3,0,1,1,2,8
2019/5/1 23:05,0,5,2,0,0,1,3,0,5,0,0,1,1,5
2019/5/1 23:10,5,3,2,0,0,0,1,0,5,0,1,3,0,7
2019/5/1 23:15,4,1,3,0,1,2,1,0,3,0,0,0,1,9
2019/5/1 23:20,3,5,4,0,0,1,1,0,10,0,0,1,1,6
2019/5/1 23:25,1,5,5,0,0,1,2,0,12,1,0,1,1,5
2019/5/1 23:30,4,2,1,0,0,0,1,0,5,0,1,1,0,12
2019/5/1 23:35,2,4,4,0,0,1,1,0,8,0,1,1,0,7
2019/5/1 23:40,4,6,5,0,0,1,2,0,12,2,3,0,0,11
2019/5/1 23:45,1,5,1,0,0,0,0,0,10,0,1,1,0,9
2019/5/1 23:50,1,1,3,0,0,1,0,0,0,0,2,3,0,14
2019/5/1 23:55,2,2,2,0,1,0,4,1,1,0,1,3,2,7
2019/5/2 0:00,4,6,1,0,0,1,2,0,0,0,2,1,0,3
2019/5/2 0:05,3,3,0,0,0,1,1,0,4,1,1,1,0,10
2019/5/2 0:10,0,1,2,0,0,1,4,0,1,0,1,1,0,6
2019/5/2 0:15,1,3,2,0,0,2,3,0,5,0,3,0,0,6
2019/5/2 0:20,0,5,1,0,1,1,1,0,7,0,0,0,0,5
2019/5/2 0:25,2,5,1,0,0,2,2,0,4,0,0,1,0,5
2019/5/2 0:30,2,3,3,0,0,0,0,0,5,0,4,0,0,5
2019/5/2 0:35,0,4,1,0,0,0,0,1,2,0,2,0,0,5
2019/5/2 0:40,0,0,5,0,0,1,1,0,6,1,1,1,0,6
2019/5/2 0:45,1,3,4,1,0,2,1,0,3,0,0,0,0,6
2019/5/2 0:50,0,2,3,0,0,0,0,0,6,0,0,0,0,7
2019/5/2 0:55,4,2,4,0,0,2,2,0,3,0,1,0,0,5
